0| Bryan took a look at his books as well . If Bryan has N0 books in each of his N1 bookshelves , how many more books does he have than bookshelves?|Answer: N0 * N1 - N1
1| For the fifth grade play , the chairs have been put into N0 rows with N1 chairs in each row . How many more chairs are there than rows ?|Answer: N0 * N1 - N0
2| There are N0 short trees and N1 tall trees currently in the park . Park workers will plant N2 short trees today . How many more tall trees than short trees will the park have when the workers are finished ?|Answer: N1 - ( N0 + N2 )
3| Conner has N0 dollars in his bank account . Every month he spends N1 dollars . He does not add money to the account . How much money did Conner spend in total after N2 months ?|Answer: N1 * N2
4| There are N0 dogwood trees currently in the park . Park workers will plant N1 dogwood trees today . How many more dogwood trees will the park have when the workers are finished than there were originally?|Answer: N1 - N0
5| Maggi had N0 packages of cupcakes . There are N1 cupcakes in each package . She ate N2 cupcakes . How many packages are left ? |Answer: ( N0 * N1 ) - N2
6| Emily collects N0 cards . Emily 's father gives Emily N1 more . Bruce has N2 apples . How many more cards does Emily have than apples ?|Answer: N0 + N1 - N2
7| A chef needs to cook N0 potatoes . He has already cooked N1 . If each potato takes N2 minutes to cook , how long will it take him to cook all of them ?|Answer: N2 * N0
8| It takes N0 apples to make N1 pie . How many pies can be made with N2 apples ?|Answer: N2 / N0
9| Isabel baked N0 brownies , but needed N1 total for her party . If she used N2 cups of flour on each one , how much more brownies does she still need to make? |Answer: N1 - N0
10| Mary is baking a cake . The recipe calls for N0 cups of flour and N1 cups of sugar . She already put in N2 cups of flour . How many cups of sugar does she need to add ?|Answer: N1 - N2
11| Rachel bought two coloring books . One had N0 pictures and the other had N1 . After one week she had already colored N2 of the pictures . How many total pictures did the two coloring books have ?|Answer: N0 + N1
12| Sean has N0 apples . Susan gives Sean N1 more . Later , Sean buys N2 tickets at the store . How many more apples does Sean have after Susan gave him apples than before?|Answer: N1
13| A DVD book holds N0 DVDs . There are N1 DVDs already in the book . How many DVDs are in the book in total ?|Answer: N0 + N1
14| Amy starts with N0 peanuts . Gerald gives Amy N1 more . How many peanuts does Gerald have to give Amy in order for her to double her peanuts?|Answer: N0 + N0 - N1
15| Frank made N0 dollars mowing lawns over the summer . If he spent N1 dollars buying new mower blades , how much money does he have left ?|Answer: N0 - N1
16| James has N0 balloons . Amy has N1 balloons . How many balloons do James and Amy have altogether ?|Answer: N0 + N1
17| Beth has N0 packs of crayons . Each pack has N1 crayons in it . She also has N2 extra crayons . How many packs of crayons does Beth have altogether ? |Answer: ( N2 + N1 ) / N0
18| Bianca had N0 coloring books . If she gave away N1 of them , but then bought N2 more , how many more coloring books did she have than before the transaction ?|Answer: N2 - N1
19| A company invited N0 people to a luncheon , but N1 of them did n't show up . If the tables they had held N2 people each , how many people will there be at each table ?|Answer: ( N0 - N1 ) / N2 * N2
20| An oil pipe in the sea broke . Before engineers started to fix the pipe , N0 liters of oil leaked into the water . While the engineers worked , the pipe leaked N1 liters of oil . In total, how much more oil leaked into the water than before the engineers started fixing the pipe ?|Answer: N1 - N0
21| A construction company ordered N0 ton of concrete , N1 ton of bricks , and N2 ton of stone . How many more tons of bricks than stone did the company order ?|Answer: N1 - N2
22| Jessica grew N0 watermelons and N1 carrots , but the rabbits ate N2 watermelons . How many carrots does Jessica have ?|Answer: N1
23| Jazmin had N0 dolls and Geraldine had N1 dolls . If Jazmin gave Geraldine half of her dolls , how many would Jazmin have left?|Answer: N0 / 2
24| Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry N0 trays at a time . If he had to pick up N1 trays from one table and N2 trays from another , how many trays will he have left after the first trip ?|Answer: N0 - N1
25| Mrs. Hilt measured the distance from her desk to the water fountain . It was N0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain N1 times this week ?|Answer: N0 * N1 * 7
26| Last year , N0 people were born in a country , and N1 people immigrated to it . How many people were there in the country before the immigrants arrived ? |Answer: N0 - N1
27| Christine wandered N0 miles at N1 miles per hour . How far did Christine wander in all ? |Answer: N0 * N1
28| Emily was planting vegetables in her garden . She started with N0 seeds and planted N1 of them in the big garden and in each of her small gardens put N2 seeds each . How many seeds did Emily have left after planting all the gardens ?|Answer: N0 - N1 - ( N2 * N2 )
29| Dana earns $ N0 per hour . She worked N1 hours on Friday , N2 hours on Saturday , and N3 hours on Sunday . How much more money did she earn on Friday and Saturday than on Sunday?|Answer: N0 * ( N1 + N2 ) - N0 * N3
30| Nancy picked N0 carrots from her garden . If she threw out N1 of them and then picked N2 more the next day , how many carrots did she have after the second picking ?|Answer: N0 + N2 - N1
31| My dog had some bones . Then , he dug up N0 bones . Now he has N1 bones . How many bones did he find ?|Answer: N0
32| There are N0 gallons of water in Becky 's fish tank . If Becky adds N1 gallons more , how many gallons more than before will there be in the tank ?|Answer: N1 + N1
33| While playing a trivia game , Adam answered N0 questions correct in the first half and N1 questions correct in the second half . If each question was worth N2 points , how many questions did he answer correctly in total ?|Answer: N0 + N1
34| Haley and her friends were recycling paper for their class . For every N0 pounds they recycled they earned one point . If Haley recycled N1 pounds and her friends recycled N2 pounds , how many more points did they earn than pounds recycled ?|Answer: ( N1 + N2 ) / N0 - ( N1 + N2 )
35| Mike had N0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now N1 peaches . how many does he have left ? |Answer: N1 - N0 - N0
36| Paige was unboxing some of her old winter clothes . She found N0 boxes of clothing and inside each box there were N1 scarves and N2 mittens . How many more scarves than mittens did Paige have?|Answer: N0 * ( N1 - N2 )
37| A waiter had N0 customers in his section . If N1 of them left and the rest of his tables had N2 people at each table , how many people were left in the section ?|Answer: N1 + ( N0 - N1 ) * N2
38| Todd has some gum . Steve gave him N0 more pieces of gum . Now Todd has N1 pieces of gum . How many pieces did Steve give Todd ?|Answer: N1 - N0
39| Mike made N0 dollars mowing lawns over the summer . If he spent N1 dollars buying new mower blades , how much money does he have left to buy games ?|Answer: ( N0 - N1 )
40| Gwen was organizing her book case making sure each of the shelves had exactly N0 books on it . If she had N1 shelves of mystery books and N2 shelves of picture books , how many shelves did she have total ?|Answer: N1 + N2
41| Paul had saved up N0 dollars . If he received another N1 dollars for his allowance , how much money did he have in total ?|Answer: N0 + N1
42| Mary starts with N0 eggs . She finds another N1 . How many more eggs did Mary end with than she started with ?|Answer: N1
43| Brandy made trail mix for a backpacking trip . She used N0 pound of peanuts , N1 pound of chocolate chips , and N2 pound of raisins . How many more pounds of peanuts than raisins did she use ?|Answer: N0 - N2
44| Bridget weighs N0 pounds . Martha weighs N1 pounds . How much lighter is Martha than Bridget ?|Answer: N1 - N0
45| For Halloween Bianca received N0 pieces of candy . She ate N1 pieces then placed the rest into piles with N2 in each pile . How many pieces of candy remain ?|Answer: ( N0 - N1 ) - ( N2 * (N0 - N1) / N2 )
46| There are N0 pencils in the drawer . Sara placed N1 pencils in the drawer . How many more pencils than before are now there ?|Answer: N1 - N0
47| While playing at the arcade , Luke won N0 tickets playing ' whack a mole ' and N1 tickets playing ' skee ball ' . If he was trying to buy candy that cost N2 tickets a piece , how much was his total winnings in tickets ?|Answer: N0 + N1
48| A multi - national corporation has N0 part - time employees and N1 full - time employees . How many more full - time than part - time employees work for the corporation?|Answer: N1 - N0
49| A box of books weighs N0 pounds . Each book weighs N1 pounds . How much does the box weigh without the books ? |Answer: N0 - ( N1 * N1 )
50| You have N0 balloons and your friend has N1 balloons . How many total balloons do you have together ?|Answer: N0 + N1
51| At lunch a waiter had N0 customers and N1 of them did n't leave a tip . If he got $ N2 each from the ones who did tip , how much money did he lose from those who didn't tip?|Answer: N2 * N1
52| There are N0 students trying out for the school 's trivia teams . If N1 of them did n't get picked for the team and the rest were put into N2 groups , how many students would be left out of the teams ?|Answer: N1
53| An oil pipe in the sea broke . Before engineers started to fix the pipe , N0 gallons of oil leaked into the water . A total of N1 gallons of oil leaked before the pipe was fixed . How many gallons of oil were left in the pipe after it was fixed ? |Answer: N1 + N0
54| If Benjamin skated N0 kilometers at N1 kilometers per hour , how many kilometers did Benjamin skate per minute ?|Answer: N1 / N0
55| A pet store had N0 puppies . In one day they sold N1 of them and put the rest into cages with N2 in each cage . How many puppies are still in the pet store?|Answer: N2 * ( N0 - N1 )
56| Dave bought N0 boxes of chocolate candy and gave N1 to his little brother . If each box has N2 pieces inside it , how many boxes did Dave still have ?|Answer: ( N0 - N1 ) / N2
57| Mike found N0 seashells and N1 starfish , but N2 of the seashells were broken . How many seashells were in total ?|Answer: N0 + N2
58| There are N0 students trying out for the school 's trivia teams . If N1 of them did n't get picked for the team and the rest were put into N2 groups , how many more students would there be in the first group than the second ?|Answer: ( N0 - N1 ) / N2 - ( N0 - N1 ) / N2
59| Mrs. Hilt bought N0 pizzas for $ N1 each . How much money did she save compared to buying four pizzas? |Answer: ( 4 - N0 ) * N1
60| The school cafeteria ordered N0 red apples and N1 green apples for students lunches . But , if only N2 students wanted fruit , how many fewer apples did the cafeteria order than students needed ? |Answer: N2 - ( N0 + N1 )
61| There were N0 girls and N1 boys trying out for the schools basketball team . If only N2 of them got called back , how many students were called back ?|Answer: N2
62| Each ticket costs $ N0 . How much do two more tickets than N1 tickets cost ?|Answer: N0 * ( N1 + 2 )
63| Recently , the value of Kate 's retirement fund increased by $ N0 . If her fund was worth $ N1 initially , how much is it worth now ?|Answer: N1 + N0
64| A sandbox is N0 centimeters long and N1 centimeters wide . How many centimeters of ground does the sandbox cover on each side ? |Answer: N0 + N1
65| A pet store has N0 bird cages . If each cage has N1 parrots and N2 parakeets in it , how many more parrots than parakeets does the pet store have ?|Answer: N0 * ( N1 - N2 )
66| Mrs. Hilt bought an ice cream cone for N0 cents . How much money would she spend if she bought N1 ice cream cones ?|Answer: N0 * N1
67| Sally has N0 blue balloons . Fred has N1 times more blue balloons than Sally . How many more blue balloons does Fred have than Sally ?|Answer: N0 * ( N1 - 1 )
68| If Joan bicycled N0 miles at N1 miles per hour , how far would she travel in N2 minutes?|Answer: (N0 / N1) * N2
69| Each child has N0 bottle caps . If there are N1 children , how many more bottle caps does each child have than if there were N2 children ?|Answer: N0 - ( N0 / N1 ) * N2
70| Jesse ¡¯ s room is N0 feet long and N1 feet wide . How much perimeter does she need to cover the whole floor ?|Answer: 2 * ( N0 + N1 )
71| There are N0 cupcakes for N1 children to share . How much will remain after the children share the cupcakes equally ?|Answer: N0 % N1
72| Nancy has N0 black balloons . Mary has N1 times more black balloons than Nancy . How many more black balloons does Mary have than Nancy ?|Answer: N0 * ( N1 - 1 )
73| The junior ranger asked Christian to help him place N0 seedlings in packets . If every packet needs to contain N1 seeds , how many leftover seeds do they have ?|Answer: N0 % N1
